Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"bubble and squeak is a british dish made from cooked potatoes and cabbage mixed together and fried the food writer howard hillman classes it as one of the great peasant dishes of the world the dish has been known since at least the th century and in its early versions it contained cooked beef by the mid th century the two vegetables had become the principal ingredients
",bubble squeak british dish cooked potatoes cabbage mixed fried food writer howard hillman classes great peasant dishes world dish known th century early versions contained cooked beef mid th century vegetables principal ingredients,9.14,"bubble,squeak,british,dish,cooked,potatoes,cabbage,mixed,fried,food,writer,howard,hillman,classes,great,peasant,dishes,world,dish,known,th,century,early,versions,contained,cooked,beef,mid,th,century,vegetables,principal,ingredients",0.00,squeak
"the name of the dish according to the oxford english dictionary  alludes to the sounds made by the ingredients when being fried the first recorded use of the name listed in the oed dates from  the st jamess chronicle recording the dishes served at a banquet included bubble and squeak garnishd with eddowes cow bumbo and tongue a correspondent in the public advertiser two years later reported making a very hearty meal on fryed beef and cabbage though i could not have touched it had my wife recommended it to me under the fashionable appellation of bubble and squeak in  another london paper recorded the quarterly meeting of the bubble and squeak society at smithfield
",dish according oxford english dictionary alludes sounds ingredients fried recorded use listed oed dates st jamess chronicle recording dishes served banquet included bubble squeak garnishd eddowes cow bumbo tongue correspondent public advertiser years later reported making hearty meal fryed beef cabbage touched wife recommended fashionable appellation bubble squeak london paper recorded quarterly meeting bubble squeak society smithfield,8.63,"dish,according,oxford,english,dictionary,alludes,sounds,ingredients,fried,recorded,use,listed,oed,dates,st,jamess,chronicle,recording,dishes,served,banquet,included,bubble,squeak,garnishd,eddowes,cow,bumbo,tongue,correspondent,public,advertiser,years,later,reported,making,hearty,meal,fryed,beef,cabbage,touched,wife,recommended,fashionable,appellation,bubble,squeak,london,paper,recorded,quarterly,meeting,bubble,squeak,society,smithfield",0.00,squeak
"in  a lancashire newspaper offered a recipe for delicious bubble and squeak consisting of thinly sliced beef fried with cabbage and carrot but not potatoes although by then they had been a major crop in lancashire for decades in the s potatoes began to appear in recipes in  the household column of the manchester times suggested
",lancashire newspaper offered recipe delicious bubble squeak consisting thinly sliced beef fried cabbage carrot potatoes major crop lancashire decades potatoes began appear recipes household column manchester times suggested,8.48,"lancashire,newspaper,offered,recipe,delicious,bubble,squeak,consisting,thinly,sliced,beef,fried,cabbage,carrot,potatoes,major,crop,lancashire,decades,potatoes,began,appear,recipes,household,column,manchester,times,suggested",0.00,squeak
"possibly because of the scarcity of beef during food rationing in and after the second world war by the latter half of the th century the basic ingredients were widely considered to be cooked and mashed  potato and chopped cooked cabbage those are the only two ingredients in delia smiths  recipe clarissa dickson wrights  version consists of crushed cooked potatoes finely chopped raw onion and cooked cabbage  seasoned with salt and pepper mixed together and shallow fried until browned on the exterior like smith dickson wright specifies dripping  for frying finding vegetable oil unsuitable for frying bubble and squeak because the mixture will not brown adequately several other cooks find oil or butter satisfactory
",possibly scarcity beef food rationing second world war half th century basic ingredients widely considered cooked mashed potato chopped cooked cabbage ingredients delia smiths recipe clarissa dickson wrights version consists crushed cooked potatoes finely chopped raw onion cooked cabbage seasoned salt pepper mixed shallow fried browned exterior like smith dickson wright specifies dripping frying finding vegetable oil unsuitable frying bubble squeak mixture brown adequately cooks find oil butter satisfactory,6.23,"possibly,scarcity,beef,food,rationing,second,world,war,half,th,century,basic,ingredients,widely,considered,cooked,mashed,potato,chopped,cooked,cabbage,ingredients,delia,smiths,recipe,clarissa,dickson,wrights,version,consists,crushed,cooked,potatoes,finely,chopped,raw,onion,cooked,cabbage,seasoned,salt,pepper,mixed,shallow,fried,browned,exterior,like,smith,dickson,wright,specifies,dripping,frying,finding,vegetable,oil,unsuitable,frying,bubble,squeak,mixture,brown,adequately,cooks,find,oil,butter,satisfactory",0.00,squeak
"fiona beckett  like smith and dickson wright stipulates no ingredients other than potato and cabbage
but there are many published variants of the basic recipe gary rhodes favours sliced brussels sprouts rather than cabbage with gently cooked sliced onions and mashed potato fried in butter he comments that although the basic ingredients of bubble and squeak and colcannon are similar the two are very different dishes the former being traditionally made from left overs and fried to give a brown crust and the latter a completely separate dish of potato spring onion and cabbage served almost as creamed potatoes
",fiona beckett like smith dickson wright stipulates ingredients potato cabbagebut published variants basic recipe gary rhodes favours sliced brussels sprouts cabbage gently cooked sliced onions mashed potato fried butter comments basic ingredients bubble squeak colcannon similar different dishes traditionally left overs fried brown crust completely separate dish potato spring onion cabbage served creamed potatoes,7.33,"fiona,beckett,like,smith,dickson,wright,stipulates,ingredients,potato,cabbagebut,published,variants,basic,recipe,gary,rhodes,favours,sliced,brussels,sprouts,cabbage,gently,cooked,sliced,onions,mashed,potato,fried,butter,comments,basic,ingredients,bubble,squeak,colcannon,similar,different,dishes,traditionally,left,overs,fried,brown,crust,completely,separate,dish,potato,spring,onion,cabbage,served,creamed,potatoes",0.00,squeak
"bubble and squeak is familiar in australia a  recipe adds peas and pumpkin to the basic mix the dish is not common in the us but is not unknown an american recipe from  resembles rundells version with the addition of a border of mashed potato in  the  american food writer howard hillman included bubble and squeak in his survey great peasant dishes of the world more recently forbes magazine ran an article about the dish in  a canadian newspaper in  reported a minor controversy about the origins of the dish with readers variously claiming it as australian english irish and scottish in  another canadian paper called the dish universally beloved
",bubble squeak familiar australia recipe adds peas pumpkin basic mix dish common unknown american recipe resembles rundells version addition border mashed potato american food writer howard hillman included bubble squeak survey great peasant dishes world recently forbes magazine ran article dish canadian newspaper reported minor controversy origins dish readers variously claiming australian english irish scottish canadian paper called dish universally beloved,7.54,"bubble,squeak,familiar,australia,recipe,adds,peas,pumpkin,basic,mix,dish,common,unknown,american,recipe,resembles,rundells,version,addition,border,mashed,potato,american,food,writer,howard,hillman,included,bubble,squeak,survey,great,peasant,dishes,world,recently,forbes,magazine,ran,article,dish,canadian,newspaper,reported,minor,controversy,origins,dish,readers,variously,claiming,australian,english,irish,scottish,canadian,paper,called,dish,universally,beloved",0.00,squeak
"the oed gives a secondary definition of bubble and squeak figurative and in figurative contexts something resembling or suggestive of bubble and squeak especially in consisting of a variety of elements in  a reviewer in the morning post dismissed a new opera at covent garden as a sort of bubble and squeak mixture of english and italian the oed gives examples from the th to the st centuries including from coleridge  the restless bubble and squeak of his vanity and discontent and from d h lawrence i can make the most lovely bubble and squeak of a life for myself in cockney rhyming slang the phrase was formerly used for beak  and more recently bubble has been used for greek
",oed gives secondary definition bubble squeak figurative figurative contexts resembling suggestive bubble squeak especially consisting variety elements reviewer morning post dismissed new opera covent garden sort bubble squeak mixture english italian oed gives examples th st centuries including coleridge restless bubble squeak vanity discontent h lawrence lovely bubble squeak life cockney rhyming slang phrase beak recently bubble greek,9.12,"oed,gives,secondary,definition,bubble,squeak,figurative,figurative,contexts,resembling,suggestive,bubble,squeak,especially,consisting,variety,elements,reviewer,morning,post,dismissed,new,opera,covent,garden,sort,bubble,squeak,mixture,english,italian,oed,gives,examples,th,st,centuries,including,coleridge,restless,bubble,squeak,vanity,discontent,h,lawrence,lovely,bubble,squeak,life,cockney,rhyming,slang,phrase,beak,recently,bubble,greek",0.00,squeak
